time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-08-12T21:13:54.611Z,1.2821,128.1885,96.3,5.1,mb,,36,5.821,0.7,us,us6000f8xz,2021-08-28T03:34:15.040Z,"53 km SSE of Tobelo, Indonesia",earthquake,8.8,6.7,0.064,80,reviewed,us,us
2021-08-02T15:04:24.709Z,1.841,127.3842,122.48,5.1,mww,,58,1.062,0.93,us,us6000f1hr,2021-08-10T19:15:07.040Z,"70 km W of Tobelo, Indonesia",earthquake,6.5,2.4,0.098,10,reviewed,us,us
2021-07-21T02:18:07.106Z,1.7086,127.404,117.69,4.6,mb,,79,0.931,0.61,us,us6000ezhk,2021-07-30T03:29:50.040Z,"67 km W of Tobelo, Indonesia",earthquake,10.7,8.5,0.141,15,reviewed,us,us
2021-07-16T02:39:53.584Z,1.8211,127.5102,121.09,4.1,mb,,134,1.052,0.68,us,us6000exzb,2021-07-22T22:38:44.040Z,"56 km W of Tobelo, Indonesia",earthquake,11.5,9.1,0.165,12,reviewed,us,us
2021-07-13T09:02:51.167Z,1.5938,128.1682,115.95,4.2,mb,,112,1.144,0.63,us,us7000emkq,2021-08-12T06:14:27.040Z,"23 km SE of Tobelo, Indonesia",earthquake,10.1,6.4,0.152,13,reviewed,us,us
2021-07-06T21:35:00.908Z,1.9838,127.6452,10,4.5,mb,,100,1.235,0.67,us,us7000ej7r,2021-07-14T22:56:10.040Z,"49 km NW of Tobelo, Indonesia",earthquake,6.6,1.9,0.095,32,reviewed,us,us
2021-07-02T13:43:14.085Z,1.8173,127.4782,118.63,4.3,mb,,142,1.044,0.34,us,us7000ejcl,2021-07-29T23:47:28.040Z,"59 km W of Tobelo, Indonesia",earthquake,9.3,7.1,0.161,11,reviewed,us,us
2021-06-27T22:51:22.878Z,1.6049,128.3378,76.06,4.6,mb,,82,1.275,0.4,us,us7000ei6n,2021-07-28T03:11:40.040Z,"39 km ESE of Tobelo, Indonesia",earthquake,7.3,8,0.181,9,reviewed,us,us
2021-05-17T22:45:31.613Z,1.9763,127.9031,233.2,4.2,mb,,116,1.311,0.84,us,us7000e52u,2021-07-24T21:07:44.040Z,"29 km NNW of Tobelo, Indonesia",earthquake,8.3,6.5,0.087,37,reviewed,us,us
2021-05-17T19:56:08.854Z,1.4932,128.2705,88.74,4.1,mb,,161,1.153,0.61,us,us7000e52r,2021-07-24T21:07:43.040Z,"Halmahera, Indonesia",earthquake,7.8,8.4,0.214,6,reviewed,us,us
