time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1994-01-21T02:24:29.960Z,1.015,127.733,19.9,7,mwb,,,,1.2,us,usp0006744,2020-09-15T16:54:48.922Z,"36 km NNE of Sofifi, Indonesia",earthquake,,,,,reviewed,us,us
1983-11-07T08:42:29.920Z,1.27,128.335,59.4,6.6,mw,,,,1.3,us,usp0001zmc,2020-08-26T23:02:31.509Z,"62 km SE of Tobelo, Indonesia",earthquake,,,,,reviewed,us,nc
2008-09-11T00:00:02.700Z,1.885,127.363,96,6.6,mwc,463,14.1,,1.02,us,usp000ggu7,2020-09-21T15:46:50.533Z,"73 km WNW of Tobelo, Indonesia",earthquake,,,,,reviewed,us,us
1989-07-22T05:02:11.510Z,2.299,128.142,141.8,6.5,mw,,,,1.1,us,usp0003xjb,2020-08-28T22:53:08.802Z,"64 km NNE of Tobelo, Indonesia",earthquake,,,,,reviewed,us,nc
1983-11-07T16:26:31.750Z,1.413,128.154,39,6.4,ms,,,,1.3,us,usp0001zmq,2020-08-26T23:02:52.061Z,"38 km SSE of Tobelo, Indonesia",earthquake,,,,21,reviewed,us,us
2003-03-10T02:09:37.080Z,1.692,127.296,93.8,6.4,mwb,434,30,,0.91,us,usp000bsas,2020-09-18T19:19:22.388Z,"Halmahera, Indonesia",earthquake,,,,,reviewed,us,us
1989-02-27T23:39:10.820Z,2.301,128.009,53.7,6.4,mw,,,,1.2,us,usp0003sdm,2020-08-28T22:32:59.047Z,"63 km N of Tobelo, Indonesia",earthquake,,3.1,,,reviewed,us,hrv
1995-07-26T23:42:02.780Z,2.534,127.681,65.4,6.4,mwb,,,,1.1,us,usp000710t,2020-09-15T18:08:04.644Z,"96 km NNW of Tobelo, Indonesia",earthquake,,,,,reviewed,us,us
1987-04-09T00:48:55.510Z,1.242,128.432,45,6.3,mw,,,,1.2,us,usp000340y,2020-08-28T21:11:16.028Z,"71 km SE of Tobelo, Indonesia",earthquake,,6.3,,,reviewed,us,hrv
1986-08-17T15:31:19.080Z,2.161,127.113,33,6.3,ms,,,,1.2,us,usp0002x8b,2020-08-28T20:36:27.820Z,"110 km WNW of Tobelo, Indonesia",earthquake,,,,1,reviewed,us,us
1989-09-14T19:10:25.700Z,1.644,127.322,103.2,6.2,mw,,,,1.2,us,usp0003zjz,2020-08-28T23:02:51.558Z,"77 km W of Tobelo, Indonesia",earthquake,,,,,reviewed,us,hrv
1986-08-10T04:40:49.770Z,1.985,128.271,104.2,6.2,mw,,,,1.1,us,usp0002x0r,2020-08-28T20:34:58.390Z,"40 km NE of Tobelo, Indonesia",earthquake,,,,,reviewed,us,hrv
1983-05-11T00:17:12.070Z,2.293,128.34,125,6.2,mw,,,,1.2,us,usp0001v7v,2020-08-26T22:41:29.883Z,"72 km NNE of Tobelo, Indonesia",earthquake,,,,,reviewed,us,nc
1992-01-13T11:58:23.140Z,1.342,127.373,112.9,6.1,mwb,,,,1.1,us,usp00051rj,2020-08-29T01:12:10.128Z,"60 km N of Ternate, Indonesia",earthquake,,,,,reviewed,us,us
1983-11-07T08:39:20.470Z,1.411,128.164,31.3,6.1,mw,,,,1.3,us,usp0001zmb,2020-08-26T23:02:16.787Z,"39 km SSE of Tobelo, Indonesia",earthquake,,,,,reviewed,us,nc
1993-05-30T17:08:53.950Z,1.546,127.207,80.9,6.1,mwb,,,,1,us,usp0005ts9,2020-09-15T16:25:06.437Z,"85 km NNW of Ternate, Indonesia",earthquake,,,,,reviewed,us,us
1995-05-04T02:18:47.920Z,1.889,128.478,23.4,6.1,mwb,,,,1.1,us,usp0006wtr,2020-09-15T17:55:32.868Z,"55 km ENE of Tobelo, Indonesia",earthquake,,,,,reviewed,us,us
2003-08-11T00:19:09.280Z,1.142,128.152,10,6,mwb,185,67.8,,1.11,us,usp000c4kv,2020-09-18T19:33:14.459Z,"66 km SSE of Tobelo, Indonesia",earthquake,,,,,reviewed,us,us
2000-09-26T16:49:33.410Z,1.123,127.442,142,5.9,mwc,265,,,1,us,usp000a0v2,2020-09-15T21:40:47.629Z,"Halmahera, Indonesia",earthquake,,,,,reviewed,us,hrv
2002-05-26T00:10:21.040Z,1.832,127.238,109,5.9,mwc,301,,,1.07,us,usp000b4yy,2020-09-18T18:53:23.859Z,"86 km W of Tobelo, Indonesia",earthquake,,,,,reviewed,us,hrv
1988-04-19T20:48:51.790Z,1.886,127.279,75,5.9,mw,,,,1.1,us,usp0003f65,2020-08-28T21:59:59.017Z,"Halmahera, Indonesia",earthquake,,,,,reviewed,us,hrv
1999-12-13T09:30:39.680Z,2.077,127.115,84.6,5.9,mwc,,,,1.02,us,usp0009jtv,2020-09-15T21:09:22.617Z,"106 km WNW of Tobelo, Indonesia",earthquake,,2.6,,,reviewed,us,hrv
1989-02-28T00:51:27.110Z,2.288,127.916,55.9,5.9,mw,,,,1.1,us,usp0003sds,2020-08-28T22:33:13.321Z,"62 km N of Tobelo, Indonesia",earthquake,,3,,,reviewed,us,hrv
1991-10-13T00:57:53.280Z,2.453,127.727,26.5,5.9,mw,,,,1.3,us,usp0004xrq,2020-08-29T01:02:33.667Z,"86 km NNW of Tobelo, Indonesia",earthquake,,,,,reviewed,us,hrv
2003-11-09T19:23:28.610Z,1.562,127.358,133.9,5.8,mwb,172,43.8,,0.76,us,usp000ccfw,2020-09-18T19:41:39.203Z,"74 km WSW of Tobelo, Indonesia",earthquake,,,,,reviewed,us,us
1995-12-05T14:54:45.000Z,1.599,127.331,99.1,5.8,mw,,,,1.1,us,usp00078av,2020-09-15T18:28:27.952Z,"76 km W of Tobelo, Indonesia",earthquake,,,,,reviewed,us,hrv
2009-09-18T18:34:22.140Z,1.755,127.189,92.7,5.8,mwc,179,40.5,,0.95,us,usp000h1n0,2020-09-21T16:15:18.981Z,"91 km W of Tobelo, Indonesia",earthquake,,,,,reviewed,us,us
2016-10-09T14:46:26.690Z,1.7703,127.449,128,5.8,mww,,30,0.995,0.81,us,us20007cya,2020-07-10T16:33:46.727Z,"62 km W of Tobelo, Indonesia",earthquake,5.8,1.8,,,reviewed,us,us
1988-01-23T08:58:00.340Z,1.785,127.236,104,5.8,mw,,,,1,us,usp0003car,2020-08-28T21:49:36.284Z,"86 km W of Tobelo, Indonesia",earthquake,,2.8,,,reviewed,us,hrv
1989-08-06T06:36:29.160Z,1.883,128.251,113.8,5.8,mw,,,,1.1,us,usp0003y4r,2020-08-28T22:55:16.657Z,"31 km ENE of Tobelo, Indonesia",earthquake,,,,,reviewed,us,hrv
2003-11-06T08:14:57.860Z,2.001,127.033,10,5.8,mwc,109,53.8,,1.01,us,usp000cc6h,2016-11-09T23:54:03.153Z,"112 km WNW of Tobelo, Indonesia",earthquake,,,,,reviewed,us,hrv
2017-11-18T16:07:00.300Z,2.4648,128.1481,8,5.8,mww,,69,1.854,1.16,us,us2000br1i,2020-07-10T16:56:42.089Z,"82 km N of Tobelo, Indonesia",earthquake,4.5,1.8,0.056,31,reviewed,us,us
1984-01-04T02:42:06.150Z,1.392,128.145,44.1,5.7,mw,,,,1.4,us,usp000210p,2020-08-26T23:10:57.874Z,"40 km SSE of Tobelo, Indonesia",earthquake,,4.3,,,reviewed,us,hrv
